epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.3403, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.0633, device='cuda:0')",67.4865026994601
2,"tensor(1.1825, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9342, device='cuda:0')",74.26514697060588
3,"tensor(0.8582, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5220, device='cuda:0')",79.60407918416317
4,"tensor(1.0031, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.7362, device='cuda:0')",83.5632873425315
5,"tensor(0.4246, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8485, device='cuda:0')",86.20275944811038
6,"tensor(0.3106, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5360, device='cuda:0')",85.42291541691662
7,"tensor(1.0561, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4089, device='cuda:0')",85.78284343131374
8,"tensor(0.6992, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5448, device='cuda:0')",86.68266346730654
9,"tensor(0.4277, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5760, device='cuda:0')",87.1625674865027
10,"tensor(0.2067, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3008, device='cuda:0')",87.28254349130174
11,"tensor(0.3521, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6097, device='cuda:0')",88.42231553689263
12,"tensor(0.0856, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4068, device='cuda:0')",88.24235152969406
13,"tensor(0.3423, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6090, device='cuda:0')",87.10257948410317
14,"tensor(0.2151, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3279, device='cuda:0')",88.3623275344931
15,"tensor(0.1874, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2229, device='cuda:0')",88.24235152969406
16,"tensor(0.2791, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2924, device='cuda:0')",87.64247150569886
17,"tensor(0.3571, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2977, device='cuda:0')",88.12237552489502
18,"tensor(0.2583, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4331, device='cuda:0')",88.9622075584883
19,"tensor(0.2931, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2802, device='cuda:0')",88.30233953209358
20,"tensor(0.0606, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1139, device='cuda:0')",88.54229154169167
21,"tensor(0.0180, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1191, device='cuda:0')",89.08218356328734
